country,region,year_start,season,lat_mean,lon_mean,season_days_observed,season_start_date,season_end_date,season_rain_sum,season_rain_mean,season_tmax_mean,season_tmin_mean,season_tmean_mean,season_radiation_sum,season_radiation_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,max_dry_spell_2mm,dry_spell_events_7d,dry_spell_events_14d,hot_dry_days_30_1mm,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,max_wet_spell_1mm,rainfall_concentration_index,rain_last_7d_before_harvest,rain_last_14d_before_harvest,rain_last_21d_before_harvest,wet_days_last_14d_before_harvest,heavy_rain_days_last_14d_before_harvest,max_3day_rain_last_21d_before_harvest,storm_before_harvest_flag,frost_days_0,cold_days_5,min_tmin,frost_events_2d,rain_sum_early,dry_days_1mm_early,max_dry_spell_1mm_early,heavy_rain_days_20_early,max_3day_rain_early,heat_days_35_early,max_consecutive_heat_days_35_early,frost_days_0_early,radiation_sum_early,rain_sum_mid,dry_days_1mm_mid,max_dry_spell_1mm_mid,heavy_rain_days_20_mid,max_3day_rain_mid,heat_days_35_mid,max_consecutive_heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,rain_sum_late,dry_days_1mm_late,max_dry_spell_1mm_late,heavy_rain_days_20_late,max_3day_rain_late,heat_days_35_late,max_consecutive_heat_days_35_late,frost_days_0_late,radiation_sum_late
Australia,New South Wales,1989,1989-90,-34.5,147.5,184,1989-05-01,1989-10-31,314.6,1.7097826086956522,15.657065217391303,4.658695652173913,10.157880434782609,2267.4,12.322826086956523,956.6500000000001,0,0,0,0,0,0,0,0.0,0.0,132,143,16,16,6,1,0,5,3,3,0,32.6,41.5,45.2,52,4,0.04069062764086748,29.599999999999998,33.8,35.099999999999994,4,0,25.299999999999997,1,14,111,-3.5,4,169.8,41,10,3,41.5,0,0,4,498.40000000000003,92.29999999999998,40,6,0,17.099999999999998,0,0,9,569.3,52.5,51,12,0,25.299999999999997,0,0,1,1199.7
Australia,New South Wales,1990,1990-91,-34.5,147.5,184,1990-05-01,1990-10-31,436.8,2.373913043478261,15.892934782608696,5.3125,10.602717391304349,2299.0,12.494565217391305,1031.4,4,0,0,4,0,1,0,11.799999999999994,0.0,133,140,16,17,8,2,4,14,6,3,0,37.0,53.5,63.7,51,6,0.03689954162138227,0.0,47.0,50.00000000000001,3,1,37.5,1,9,89,-2.6,2,150.40000000000003,48,16,3,53.5,0,0,4,567.8,163.00000000000003,36,9,1,25.000000000000004,0,0,5,543.9,123.4,49,14,2,47.5,0,0,0,1187.2999999999997
Australia,New South Wales,1991,1991-92,-34.5,147.5,184,1991-05-01,1991-10-31,361.4,1.9641304347826085,16.857608695652175,5.434239130434783,11.145923913043477,2362.6000000000004,12.84021739130435,1131.45,3,0,0,1,0,0,0,1.6999999999999993,0.0,141,151,20,20,6,3,3,8,4,3,0,45.0,83.69999999999999,144.0,43,4,0.052772698192389014,10.6,10.8,10.8,2,0,5.8,0,7,90,-1.6,0,173.8,50,20,3,83.69999999999999,0,0,1,561.0999999999999,126.30000000000001,39,7,0,24.0,0,0,5,570.7,61.3,52,17,1,32.7,0,0,1,1230.8
Australia,New South Wales,1992,1992-93,-34.5,147.5,184,1992-05-01,1992-10-31,344.79999999999995,1.8739130434782607,15.454891304347825,4.210326086956522,9.832608695652173,2175.9,11.82554347826087,892.3,0,0,0,0,0,0,0,0.0,0.0,137,154,16,16,7,1,0,12,4,3,0,46.0,61.2,63.7,47,4,0.05863734179940894,12.7,73.9,78.0,4,1,61.2,1,27,111,-2.7,7,56.900000000000006,49,11,0,16.3,0,0,3,550.8,131.89999999999998,49,16,2,46.1,0,0,22,596.1000000000001,156.0,39,10,2,61.2,0,0,2,1028.9999999999998
Australia,New South Wales,1993,1993-94,-34.5,147.5,184,1993-05-01,1993-10-31,490.9,2.6679347826086954,16.57445652173913,5.003804347826088,10.789130434782608,2291.0,12.451086956521738,1065.2,0,0,0,0,0,0,0,0.0,0.0,150,156,23,23,7,4,0,13,9,7,3,64.5,67.2,85.30000000000001,34,5,0.07089854251429803,18.5,31.5,33.800000000000004,3,0,18.5,0,11,99,-2.7,2,80.5,56,23,1,67.2,0,0,7,582.1999999999999,182.6,46,14,4,65.7,0,0,4,627.7,227.79999999999998,48,15,4,56.8,0,0,0,1081.1000000000001
Australia,New South Wales,1994,1994-95,-34.5,147.5,184,1994-05-01,1994-10-31,103.69999999999999,0.5635869565217391,17.654891304347824,3.281521739130435,10.46820652173913,2512.6,13.655434782608696,1012.5,2,0,0,2,0,0,0,3.900000000000002,0.0,158,163,19,37,10,5,2,1,0,0,0,11.8,14.9,15.7,26,4,0.04616554875582244,9.5,13.100000000000001,13.100000000000001,3,0,9.5,0,46,119,-4.9,11,32.900000000000006,51,18,0,12.8,0,0,10,561.8000000000001,29.400000000000006,56,19,0,14.9,0,0,31,785.1999999999999,41.4,51,14,0,9.5,0,0,5,1165.5999999999997
Australia,New South Wales,1995,1995-96,-34.5,147.5,184,1995-05-01,1995-10-31,392.0,2.130434782608696,16.305978260869566,5.45,10.877989130434784,2337.8,12.705434782608696,1088.4499999999998,1,0,0,1,0,0,0,0.8000000000000007,0.0,129,147,16,28,10,2,1,12,6,3,0,35.3,50.3,73.0,55,9,0.043055627863390254,0.0,18.2,28.0,3,0,18.2,0,20,86,-2.6,5,195.1,39,14,4,50.3,0,0,3,520.5,77.6,43,16,0,20.4,0,0,13,669.8,119.30000000000001,47,10,2,29.7,0,0,4,1147.4999999999998
Australia,New South Wales,1996,1996-97,-34.5,147.5,184,1996-05-01,1996-10-31,388.79999999999995,2.1130434782608694,16.569021739130434,5.1510869565217385,10.860054347826088,2349.5,12.769021739130435,1080.0,1,0,0,1,0,0,0,0.3999999999999986,0.0,126,142,19,22,5,2,1,11,3,1,0,27.2,48.0,68.89999999999999,58,10,0.02987865480363766,0.0,20.700000000000003,42.300000000000004,2,0,31.5,1,17,100,-1.9,5,119.5,46,19,2,38.3,0,0,9,561.9999999999999,159.29999999999998,34,7,1,48.0,0,0,7,555.1,110.0,46,11,0,32.2,0,0,1,1232.4000000000003
Australia,New South Wales,1997,1997-98,-34.5,147.5,184,1997-05-01,1997-10-31,298.20000000000005,1.6206521739130437,16.657065217391306,4.173369565217391,10.415217391304347,2422.8,13.167391304347827,1002.5999999999999,5,0,0,4,0,1,0,10.100000000000005,0.0,144,151,22,27,8,1,5,11,2,1,0,28.9,31.3,43.400000000000006,40,5,0.043281598826133624,4.4,4.4,4.5,1,0,4.4,0,35,110,-4.2,9,119.30000000000003,43,9,0,29.3,0,0,10,565.6,73.39999999999999,52,11,0,28.8,0,0,24,693.5000000000001,105.5,49,22,2,31.3,0,0,1,1163.7
Australia,New South Wales,1998,1998-99,-34.5,147.5,184,1998-05-01,1998-10-31,364.40000000000003,1.9804347826086959,16.032065217391303,5.232608695652174,10.632336956521739,2228.1,12.109239130434782,1046.3,0,0,0,0,0,0,0,0.0,0.0,134,149,17,17,7,1,0,13,4,2,0,30.7,71.3,89.8,50,5,0.037984488885086654,2.8000000000000003,19.900000000000006,21.400000000000006,4,0,17.1,0,18,93,-5.0,4,132.6,48,17,2,71.3,0,0,9,553.8,101.0,45,9,0,18.400000000000002,0,0,8,591.3000000000001,130.79999999999998,41,9,2,43.5,0,0,1,1082.9999999999998
