country,region,year_start,season,lat_mean,lon_mean,season_days_observed,season_start_date,season_end_date,season_rain_sum,season_rain_mean,season_tmax_mean,season_tmin_mean,season_tmean_mean,season_radiation_sum,season_radiation_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,max_dry_spell_2mm,dry_spell_events_7d,dry_spell_events_14d,hot_dry_days_30_1mm,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,max_wet_spell_1mm,rainfall_concentration_index,rain_last_7d_before_harvest,rain_last_14d_before_harvest,rain_last_21d_before_harvest,wet_days_last_14d_before_harvest,heavy_rain_days_last_14d_before_harvest,max_3day_rain_last_21d_before_harvest,storm_before_harvest_flag,frost_days_0,cold_days_5,min_tmin,frost_events_2d,rain_sum_early,dry_days_1mm_early,max_dry_spell_1mm_early,heavy_rain_days_20_early,max_3day_rain_early,heat_days_35_early,max_consecutive_heat_days_35_early,frost_days_0_early,radiation_sum_early,rain_sum_mid,dry_days_1mm_mid,max_dry_spell_1mm_mid,heavy_rain_days_20_mid,max_3day_rain_mid,heat_days_35_mid,max_consecutive_heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,rain_sum_late,dry_days_1mm_late,max_dry_spell_1mm_late,heavy_rain_days_20_late,max_3day_rain_late,heat_days_35_late,max_consecutive_heat_days_35_late,frost_days_0_late,radiation_sum_late
United States,Colorado,1989,1989-90,39.0,-105.5,184,1989-05-01,1989-10-31,238.67000000000002,1.2971195652173915,19.870652173913044,3.4474456521739127,11.431793478260868,3870.16,21.033478260869565,1264.23,3,0,0,3,0,1,0,2.099999999999998,0.0,118,145,18,25,7,2,3,1,0,0,0,10.57,18.509999999999998,30.499999999999996,66,8,0.018523555056098512,3.79,4.0600000000000005,15.93,1,0,11.66,0,47,103,-9.57,7,86.23000000000002,36,9,0,16.97,0,0,19,1433.33,98.2,34,12,0,18.509999999999998,0,0,0,1402.42,54.23999999999999,48,13,0,15.82,0,0,28,1034.41
United States,Colorado,1990,1990-91,39.0,-105.5,184,1990-05-01,1990-10-31,277.38,1.5075,20.100652173913044,3.6559239130434786,11.60179347826087,3845.3999999999996,20.89891304347826,1296.1,5,0,0,3,0,1,0,4.32,0.0,112,134,13,23,8,0,5,2,0,0,0,12.12,21.87,42.74,72,14,0.017296553219694054,0.1,14.339999999999998,15.749999999999998,2,0,13.629999999999999,0,52,95,-12.76,6,43.7,49,11,0,15.39,0,0,25,1523.51,146.95999999999998,20,8,0,21.87,0,0,0,1313.5799999999997,86.72,43,11,0,15.819999999999999,0,0,27,1008.31
United States,Colorado,1991,1991-92,39.0,-105.5,184,1991-05-01,1991-10-31,290.87,1.5808152173913044,19.62413043478261,3.5558152173913045,11.251413043478262,3763.51,20.453858695652176,1241.56,0,0,0,0,0,0,0,0.0,0.0,105,130,23,43,5,2,0,2,0,0,0,14.0,26.75,45.55,79,11,0.016630758991573975,14.250000000000002,19.24,19.409999999999997,5,0,13.180000000000001,0,41,95,-14.52,8,93.91999999999999,38,13,0,16.59,0,0,15,1412.58,154.50000000000006,22,5,0,26.75,0,0,0,1323.0100000000002,42.449999999999996,45,23,0,13.18,0,0,26,1027.9200000000003
United States,Colorado,1992,1992-93,39.0,-105.5,184,1992-05-01,1992-10-31,264.08000000000004,1.435217391304348,19.322880434782608,3.6099456521739133,11.125815217391303,3633.1000000000004,19.745108695652174,1158.9199999999998,0,0,0,0,0,0,0,0.0,0.0,108,144,17,35,7,2,0,1,1,1,0,39.39,50.550000000000004,54.129999999999995,76,12,0.032714550734674046,14.43,14.830000000000002,15.309999999999999,5,0,6.609999999999999,0,31,115,-6.44,7,93.96,29,8,0,15.32,0,0,8,1320.4000000000003,139.97000000000003,29,6,1,50.550000000000004,0,0,1,1281.8400000000001,30.15,50,17,0,6.609999999999999,0,0,22,1030.8600000000001
United States,Colorado,1993,1993-94,39.0,-105.5,184,1993-05-01,1993-10-31,243.0,1.3206521739130435,18.96961956521739,2.817282608695652,10.621521739130435,3849.41,20.92070652173913,1136.49,0,0,0,0,0,0,0,0.0,0.0,109,143,18,23,5,2,0,2,0,0,0,12.43,16.389999999999997,20.49,75,8,0.016355152500465715,9.07,11.430000000000001,30.400000000000002,4,0,16.389999999999997,0,54,113,-14.27,8,73.59,38,12,0,15.66,0,0,21,1510.92,94.16000000000001,30,7,0,12.4,0,0,0,1375.8100000000002,75.24999999999999,41,18,0,16.389999999999997,0,0,33,962.68
United States,Colorado,1994,1994-95,39.0,-105.5,184,1994-05-01,1994-10-31,259.27,1.4090760869565215,20.507934782608697,4.359782608695652,12.139130434782608,3834.4600000000005,20.839456521739134,1389.9099999999999,1,0,0,1,0,0,0,0.08999999999999986,0.0,117,139,15,32,7,1,1,2,1,0,0,21.08,25.349999999999998,31.779999999999998,67,8,0.02082409510862353,3.48,4.68,20.610000000000003,1,0,10.97,0,36,91,-6.31,4,89.33,42,15,1,25.349999999999998,0,0,6,1534.8700000000001,92.90000000000002,36,10,0,16.86,0,0,0,1316.2499999999998,77.04,39,12,0,11.7,0,0,30,983.3399999999999
United States,Colorado,1995,1995-96,39.0,-105.5,184,1995-05-01,1995-10-31,347.15,1.8866847826086954,18.151576086956524,2.790923913043478,10.28875,3748.7,20.37336956521739,1090.4700000000003,0,0,0,0,0,0,0,0.0,0.0,100,125,11,29,7,0,0,5,1,0,0,23.69,40.21,46.06,84,10,0.017925061231402417,1.3,5.659999999999999,8.11,1,0,4.33,0,66,108,-9.52,8,185.04999999999998,21,6,1,40.21,0,0,32,1321.4799999999998,101.48000000000002,35,11,0,16.599999999999998,0,0,0,1426.0000000000002,60.620000000000005,44,9,0,12.879999999999999,0,0,34,1001.22
United States,Colorado,1996,1996-97,39.0,-105.5,184,1996-05-01,1996-10-31,291.78999999999996,1.585815217391304,19.929782608695653,3.8286956521739133,11.688750000000002,3897.61,21.18266304347826,1343.8799999999999,0,0,0,0,0,0,0,0.0,0.0,106,136,18,19,4,2,0,3,1,0,0,24.09,44.02,47.61,78,9,0.019462005795133467,13.140000000000002,18.89,23.310000000000002,8,0,10.09,0,37,92,-10.35,5,101.22,43,14,1,44.02,0,0,13,1518.2700000000002,111.06,27,4,0,15.480000000000002,0,0,0,1410.4399999999998,79.50999999999998,36,18,0,11.299999999999999,0,0,24,968.9
United States,Colorado,1997,1997-98,39.0,-105.5,184,1997-05-01,1997-10-31,337.84000000000003,1.8360869565217393,19.630434782608695,3.7816304347826084,11.447771739130436,3892.24,21.153478260869566,1292.3600000000001,0,0,0,0,0,0,0,0.0,0.0,102,131,23,24,4,1,0,4,0,0,0,16.94,29.71,43.120000000000005,82,14,0.01694563746314638,12.6,33.769999999999996,41.17,4,0,29.71,1,40,96,-19.69,6,101.71000000000001,36,9,0,29.52,0,0,16,1490.8899999999999,152.07000000000002,25,17,0,26.54,0,0,0,1397.2600000000002,84.06,41,13,0,29.71,0,0,24,1004.0899999999999
United States,Colorado,1998,1998-99,39.0,-105.5,184,1998-05-01,1998-10-31,269.83,1.4664673913043478,20.161793478260872,3.941521739130435,11.76907608695652,3955.4599999999996,21.497065217391302,1301.8,2,0,0,1,0,0,0,0.7699999999999996,0.0,123,140,20,26,6,3,2,1,0,0,0,10.23,25.259999999999998,43.769999999999996,61,15,0.01753294537288216,19.82,21.150000000000002,22.84,5,0,10.780000000000001,0,48,97,-5.82,8,41.05000000000001,50,15,0,7.709999999999999,0,0,26,1551.43,167.57,25,6,0,25.259999999999998,0,0,0,1394.3499999999997,61.21,48,20,0,12.559999999999999,0,0,22,1009.68
