dataset,feature_set,model,feature,importance_rmse_increase_mean,importance_rmse_increase_std
aus_overlap,extreme_weather_soil,ANN_MLP,crop,0.3822401964225828,0.0433333543322437
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SILT_0_5,0.14512470440312075,0.01575008700557072
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_30_60,0.06077894459135773,0.010067592964846907
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_100_200,0.05405168622796665,0.008631417317057135
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_15_30,0.053166070309635036,0.010411077029124536
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SAND_5_15,0.05246718124837976,0.010439156698730682
aus_overlap,extreme_weather_soil,ANN_MLP,dry_days_2mm,0.048016544129074884,0.012192937490362628
aus_overlap,extreme_weather_soil,ANN_MLP,region,0.04673073775967332,0.010984266366147783
aus_overlap,extreme_weather_soil,ANN_MLP,max_consecutive_heat_days_30,0.04260596416223504,0.012214259437562089
aus_overlap,extreme_weather_soil,ANN_MLP,soil_CLAY_15_30,0.040446817505755045,0.0063042744923923364
aus_overlap,extreme_weather_soil,ANN_MLP,wet_days_1mm,0.04024709326654581,0.008881759704550511
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SILT_100_200,0.03953194551189913,0.006643800115881185
aus_overlap,extreme_weather_soil,ANN_MLP,soil_CLAY_0_5,0.037176792771298955,0.00618945153901177
aus_overlap,extreme_weather_soil,ANN_MLP,max_dry_spell_2mm,0.03713046498650341,0.01814834661782351
aus_overlap,extreme_weather_soil,ANN_MLP,heat_days_30,0.03694438182295079,0.011033068012285359
aus_overlap,extreme_weather_soil,ANN_MLP,soil_AWC_60_100,0.03597077912537312,0.008073520017892695
aus_overlap,extreme_weather_soil,ANN_MLP,soil_ECEC_5_15,0.035550932414941686,0.00875842163340635
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SOC_5_15,0.03546542849949198,0.005711331680140766
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_N_30_60,0.03389899500787544,0.008636765934759427
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_15_30,0.033583356671456954,0.006502321064346992
aus_overlap,extreme_weather_soil,ANN_MLP,season_radiation_mean,0.03343990936854099,0.006723916239227878
aus_overlap,extreme_weather_soil,ANN_MLP,growing_degree_days_base5,0.03303083666559348,0.005443054439495467
aus_overlap,extreme_weather_soil,ANN_MLP,soil_BULK_DENSITY_15_30,0.03212808877433576,0.005107500170395617
aus_overlap,extreme_weather_soil,ANN_MLP,cold_days_5,0.03205693478072845,0.011453201440639207
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_10,0.03135567709614166,0.009803313341109659
aus_overlap,extreme_weather_soil,ANN_MLP,soil_CLAY_100_200,0.03126893523946965,0.01029915392897281
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SOC_15_30,0.029981417413266487,0.008830586393306994
aus_overlap,extreme_weather_soil,ANN_MLP,soil_TOTAL_P_30_60,0.02955463034141502,0.007087028358580155
aus_overlap,extreme_weather_soil,ANN_MLP,heavy_rain_days_last_14d_before_harvest,0.028507528675998484,0.0048474788859655836
aus_overlap,extreme_weather_soil,ANN_MLP,rain_last_14d_before_harvest,0.028315279364369283,0.009951021819041443
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SILT_60_100,0.027404935816158868,0.0054234583906769525
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SAND_0_5,0.025626466030500186,0.006986269499617705
aus_overlap,extreme_weather_soil,ANN_MLP,soil_PHC_100_200,0.025370686971154216,0.005155711772034291
aus_overlap,extreme_weather_soil,ANN_MLP,rainfall_concentration_index,0.0246053078245414,0.0056321239405419535
aus_overlap,extreme_weather_soil,ANN_MLP,soil_SAND_60_100,0.024179073928655606,0.009064475134726219
