dataset,feature_set,model,feature,importance_rmse_increase_mean,importance_rmse_increase_std
us_overlap,extreme_weather_soil,ExtraTrees,crop,0.7562796221327839,0.06906432763648503
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_60_100,0.06045776173659015,0.009455764339648898
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_30_60,0.05663370114850297,0.008443169826470094
us_overlap,extreme_weather_soil,ExtraTrees,lon_mean,0.05259952622554469,0.006821934908976641
us_overlap,extreme_weather_soil,ExtraTrees,region,0.045991080729778935,0.007472073942790186
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_100_200,0.04317940746544566,0.007045232805877219
us_overlap,extreme_weather_soil,ExtraTrees,lat_mean,0.020099087821656134,0.007750856798914924
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_15_30,0.016973262354403426,0.0034826055138094747
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_0_5,0.015706752204441135,0.00318669041555433
us_overlap,extreme_weather_soil,ExtraTrees,soil_cfvo_5_15,0.010162558120539594,0.002110718520182435
us_overlap,extreme_weather_soil,ExtraTrees,max_consecutive_heat_days_30,0.00458028803058301,0.0009314718841808267
us_overlap,extreme_weather_soil,ExtraTrees,heat_degree_days_30,0.004445090387533018,0.0013201618142210452
us_overlap,extreme_weather_soil,ExtraTrees,heatwave_events_3d_30,0.0040151128339310505,0.0014195216363198572
us_overlap,extreme_weather_soil,ExtraTrees,cold_days_5,0.003945185718653821,0.0006873359102079452
us_overlap,extreme_weather_soil,ExtraTrees,hot_dry_days_30_1mm,0.003363008378498969,0.0008460294535772198
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_20_late,0.003282084971773888,0.001263475701391843
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_0_5,0.0032616495083029745,0.0011847868508411575
us_overlap,extreme_weather_soil,ExtraTrees,max_3day_rain_mid,0.0032208863867517895,0.0009206648472529262
us_overlap,extreme_weather_soil,ExtraTrees,dry_days_1mm_early,0.0031972581345869194,0.001030269076275586
us_overlap,extreme_weather_soil,ExtraTrees,heat_days_30,0.003107125628208307,0.0008742001387515291
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_100_200,0.0030877111326017975,0.0006189055261599553
us_overlap,extreme_weather_soil,ExtraTrees,max_1day_rain,0.0029272347009463573,0.0008783526656124869
us_overlap,extreme_weather_soil,ExtraTrees,frost_events_2d,0.0025175592927369483,0.003224769756393914
us_overlap,extreme_weather_soil,ExtraTrees,max_dry_spell_1mm,0.0022240601995443254,0.0007713897766164858
us_overlap,extreme_weather_soil,ExtraTrees,max_dry_spell_2mm,0.0022168031059934395,0.0010332028908166147
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_100_200,0.002078135758089669,0.0015232650561606323
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_60_100,0.0019446154624927492,0.0005442569344845079
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_60_100,0.001941223335789083,0.00037407127203508973
us_overlap,extreme_weather_soil,ExtraTrees,max_consecutive_heat_days_35_early,0.0019324705665298841,0.001134493134148842
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_5_15,0.001750054231689016,0.0008900650764225915
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_30_60,0.0017366251191528181,0.000625744835247174
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_5_15,0.0017324515096574233,0.0003694045864645235
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_5_15,0.001719380100552892,0.0014618336326986069
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_0_5,0.0014576190635906955,0.0006069028425239222
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_15_30,0.0014393245386072062,0.0003976800905294404
us_overlap,extreme_weather_soil,ExtraTrees,dry_days_1mm_late,0.0014166542881456218,0.0005114617300304822
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_0_5,0.0014093836545730765,0.0004847471983662498
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_15_30,0.0014083265371882259,0.0005824865782168297
us_overlap,extreme_weather_soil,ExtraTrees,soil_nitrogen_100_200,0.0013786365427320285,0.000506137502730522
us_overlap,extreme_weather_soil,ExtraTrees,dry_spell_events_14d,0.001377318760681645,0.00035604844785437753
us_overlap,extreme_weather_soil,ExtraTrees,season_tmean_mean,0.0012898516972263824,0.000929971329384077
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_0_5,0.0012174906897543802,0.0005819165212315299
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_100_200,0.001209388230274,0.0006214275214644374
us_overlap,extreme_weather_soil,ExtraTrees,heavy_rain_days_25,0.0011645149116240872,0.001064461867994086
us_overlap,extreme_weather_soil,ExtraTrees,heat_days_35,0.0011598157375675433,0.0007063640577291493
us_overlap,extreme_weather_soil,ExtraTrees,dry_days_2mm,0.0011271598016363016,0.0005892583223647809
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_0_5,0.0011100958590112842,0.0003671946114131214
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_5_15,0.0010927250296147023,0.0003743169731107074
us_overlap,extreme_weather_soil,ExtraTrees,rainfall_concentration_index,0.0010714936696525207,0.0010235904717637305
us_overlap,extreme_weather_soil,ExtraTrees,soil_silt_30_60,0.0010003942733110838,0.00042088476026950155
us_overlap,extreme_weather_soil,ExtraTrees,dry_spell_events_7d,0.000958700490543099,0.0007747164974401175
us_overlap,extreme_weather_soil,ExtraTrees,soil_cec_30_60,0.0009531681091078797,0.0003177490485494364
us_overlap,extreme_weather_soil,ExtraTrees,season_rain_mean,0.0008959937863954465,0.000515504486530838
us_overlap,extreme_weather_soil,ExtraTrees,growing_degree_days_base5,0.0008922743919332482,0.0012621180887751812
us_overlap,extreme_weather_soil,ExtraTrees,season_radiation_mean,0.0008869694013158708,0.0010417378757556677
us_overlap,extreme_weather_soil,ExtraTrees,soil_bdod_60_100,0.000803226297693499,0.0010147833595524666
us_overlap,extreme_weather_soil,ExtraTrees,soil_soc_60_100,0.000741165185435308,0.00032964936555090536
us_overlap,extreme_weather_soil,ExtraTrees,soil_phh2o_100_200,0.0007250741810779504,0.0006946076443196653
us_overlap,extreme_weather_soil,ExtraTrees,season_rain_sum,0.0007217427553267153,0.00038937232922300435
