country,region,crop,mean_predicted_yield_t_ha,median_predicted_yield_t_ha,years,best_rank_share,rank_within_region
Australia,New South Wales,Wheat,1.9845813864951682,2.1006129187378173,33,0.696969696969697,1.0
Australia,New South Wales,Barley,1.8777403570130202,2.007347881593268,33,0.30303030303030304,2.0
Australia,New South Wales,Oats,1.3214375923121222,1.4433907858534412,33,0.0,3.0
Australia,New South Wales,Canola,1.2280412298036474,1.3474553419235638,33,0.0,4.0
Australia,Queensland,Barley,1.7251752584239488,1.774600018526296,33,0.7878787878787878,1.0
Australia,Queensland,Wheat,1.5766220035704295,1.5782505394764061,33,0.21212121212121213,2.0
Australia,Queensland,Canola,0.8225550020111172,0.9054081798806664,33,0.0,3.0
Australia,Queensland,Oats,0.7884465367200473,0.8070845754920195,33,0.0,4.0
Australia,South Australia,Barley,1.8979984954782567,1.9153841310087945,33,0.9090909090909091,1.0
Australia,South Australia,Wheat,1.7517035414370465,1.7990533682661698,33,0.09090909090909091,2.0
Australia,South Australia,Oats,1.3939911736125692,1.4442888150615967,33,0.0,3.0
Australia,South Australia,Canola,1.2305478771228724,1.3124025068669818,33,0.0,4.0
Australia,Tasmania,Wheat,4.0641924860260294,4.152889211725895,33,1.0,1.0
Australia,Tasmania,Barley,3.071673808435606,3.090375499864547,33,0.0,2.0
Australia,Tasmania,Oats,2.100396745135184,2.044573495715526,33,0.0,3.0
Australia,Tasmania,Canola,1.5851376889965343,1.5970744518076039,33,0.0,4.0
Australia,Victoria,Wheat,1.9598011286897659,1.9676141641389289,33,0.42424242424242425,1.0
Australia,Victoria,Oats,1.9143576436614749,1.95904004125248,33,0.36363636363636365,2.0
Australia,Victoria,Barley,1.8632146398756317,1.876617040969232,33,0.21212121212121213,3.0
Australia,Victoria,Canola,1.2649704361379337,1.3065152020055428,33,0.0,4.0
Australia,Western Australia,Barley,1.938536406748105,1.94734841297978,33,0.7575757575757576,1.0
Australia,Western Australia,Oats,1.8197602623662446,1.8158423298605384,33,0.21212121212121213,2.0
Australia,Western Australia,Wheat,1.7116943577492112,1.7404578022021524,33,0.030303030303030304,3.0
Australia,Western Australia,Canola,1.2573261318936935,1.2943274434553458,33,0.0,4.0
United States,Colorado,Barley,5.844685303472798,5.969069643745252,33,1.0,1.0
United States,Colorado,Wheat,2.473366534957674,2.5698559219885366,33,0.0,2.0
United States,Colorado,Canola,2.299728591297884,2.4090079495249843,33,0.0,3.0
United States,Colorado,Oats,2.2294725870315277,2.2652038677868336,33,0.0,4.0
United States,Illinois,Wheat,3.8941742946640754,3.945838597815606,33,0.5151515151515151,1.0
United States,Illinois,Barley,3.8790175690517033,3.8428099905291653,33,0.48484848484848486,2.0
United States,Illinois,Oats,2.684492299561222,2.6909961116147265,33,0.0,3.0
United States,Illinois,Canola,2.0964322712672,2.1031102601092857,33,0.0,4.0
United States,Iowa,Barley,3.523868418646595,3.5268003359467053,33,0.7878787878787878,1.0
United States,Iowa,Wheat,3.2996683573247085,3.2505273454790515,33,0.21212121212121213,2.0
United States,Iowa,Oats,2.4354820372166097,2.4247583361754055,33,0.0,3.0
United States,Iowa,Canola,1.94109178108203,1.870576410101847,33,0.0,4.0
United States,Kansas,Wheat,2.5857167504077276,2.587201102862865,33,0.9393939393939394,1.0
United States,Kansas,Barley,2.275932647167276,2.2663187586839078,33,0.06060606060606061,2.0
United States,Kansas,Oats,1.8486276037342941,1.8345700427223859,33,0.0,3.0
United States,Kansas,Canola,1.6439898688955366,1.6745050564919906,33,0.0,4.0
United States,Minnesota,Barley,3.255037474230679,3.2167630385965573,33,0.8484848484848485,1.0
United States,Minnesota,Wheat,3.0498939915700722,3.040848219648041,33,0.15151515151515152,2.0
United States,Minnesota,Oats,2.232037284250793,2.301074022518047,33,0.0,3.0
United States,Minnesota,Canola,1.6768414929906987,1.704218216941908,33,0.0,4.0
United States,Montana,Barley,2.7123222274119443,2.684399862455182,33,1.0,1.0
United States,Montana,Wheat,2.20729503664587,2.1667821858342236,33,0.0,2.0
United States,Montana,Oats,1.9142898588993877,1.9316743172293491,33,0.0,3.0
United States,Montana,Canola,1.517268446160033,1.5210843947689787,33,0.0,4.0
United States,Nebraska,Wheat,2.6945412757183145,2.730552604414454,33,0.8181818181818182,1.0
United States,Nebraska,Barley,2.5915169187594884,2.686600967432967,33,0.18181818181818182,2.0
United States,Nebraska,Oats,2.1562340915263425,2.26647762855785,33,0.0,3.0
United States,Nebraska,Canola,1.8677127216169336,1.9475823226954194,33,0.0,4.0
United States,North Dakota,Barley,3.024576907525968,2.976167862634091,33,1.0,1.0
United States,North Dakota,Wheat,2.4548225948861497,2.4063557805637963,33,0.0,2.0
United States,North Dakota,Oats,2.1167296665863944,2.1378641277604755,33,0.0,3.0
United States,North Dakota,Canola,1.58539500006522,1.5965326902814025,33,0.0,4.0
United States,Oklahoma,Wheat,2.119504552212136,2.060171447568721,33,0.45454545454545453,1.0
United States,Oklahoma,Barley,2.105508521505707,2.0286585560419588,33,0.5454545454545454,2.0
United States,Oklahoma,Oats,1.4510748289445055,1.3612991977998519,33,0.0,3.0
United States,Oklahoma,Canola,1.2517590441807718,1.1884937010540577,33,0.0,4.0
United States,South Dakota,Wheat,2.7357367104590242,2.7915019783519006,33,0.7575757575757576,1.0
United States,South Dakota,Barley,2.5324022215890998,2.5572550263928178,33,0.24242424242424243,2.0
United States,South Dakota,Oats,2.3283982621157775,2.3771455672309494,33,0.0,3.0
United States,South Dakota,Canola,2.0595869385922563,2.1027776318141336,33,0.0,4.0
United States,Texas,Barley,2.158373429770484,2.066496464399778,33,0.6666666666666666,1.0
United States,Texas,Wheat,2.0729374704484522,2.015818173416971,33,0.3333333333333333,2.0
United States,Texas,Canola,1.6222268750269964,1.5724890407162617,33,0.0,3.0
United States,Texas,Oats,1.6136610442005261,1.5672072628087732,33,0.0,4.0
United States,Washington,Wheat,3.828991309832615,3.8114355345586572,33,1.0,1.0
United States,Washington,Barley,3.3014234216471894,3.3244382244337918,33,0.0,2.0
United States,Washington,Oats,2.4243424120166273,2.4626693817567276,33,0.0,3.0
United States,Washington,Canola,2.0358178229259094,2.0866572025450383,33,0.0,4.0
