country,region,crop,mean_predicted_yield_t_ha,median_predicted_yield_t_ha,years,best_rank_share,rank_within_region
United States,Colorado,Barley,6.044719572871573,6.351704857142869,33,1.0,1.0
United States,Colorado,Oats,2.2665006991342,2.2830273023809537,33,0.0,2.0
United States,Colorado,Wheat,2.2512853885281388,2.2201198333333316,33,0.0,3.0
United States,Colorado,Canola,2.249722717128428,2.269682459523813,33,0.0,4.0
United States,Illinois,Wheat,3.8499723481240973,4.046336428571425,33,0.9393939393939394,1.0
United States,Illinois,Barley,3.521262329292929,3.606150295238097,33,0.06060606060606061,2.0
United States,Illinois,Oats,2.4980556414141413,2.5042384285714276,33,0.0,3.0
United States,Illinois,Canola,2.3982403496320344,2.4424121980952385,33,0.0,4.0
United States,Iowa,Wheat,3.1617432233044735,3.1960306309523774,33,0.696969696969697,1.0
United States,Iowa,Barley,3.1425744642135642,3.154162976190472,33,0.30303030303030304,2.0
United States,Iowa,Oats,2.414197482106783,2.40072785714286,33,0.0,3.0
United States,Iowa,Canola,1.5332482501226552,1.5057291028571418,33,0.0,4.0
United States,Kansas,Wheat,2.5042137720057727,2.5604252619047614,33,0.8787878787878788,1.0
United States,Kansas,Barley,2.2104591731601726,2.182794095238097,33,0.12121212121212122,2.0
United States,Kansas,Oats,1.7921086787878797,1.8563408238095243,33,0.0,3.0
United States,Kansas,Canola,1.5077920038167376,1.4955778688095234,33,0.0,4.0
United States,Minnesota,Barley,3.1521573326118335,3.180694428571425,33,0.3939393939393939,1.0
United States,Minnesota,Wheat,3.107083335497834,3.2436500357142806,33,0.6060606060606061,2.0
United States,Minnesota,Oats,2.219779494083695,2.2361016380952408,33,0.0,3.0
United States,Minnesota,Canola,1.643641773860029,1.6361154197619054,33,0.0,4.0
United States,Montana,Barley,2.64071361038961,2.6571371666666725,33,1.0,1.0
United States,Montana,Wheat,2.248763336940837,2.3030402976190474,33,0.0,2.0
United States,Montana,Oats,1.8597456205555556,1.884299874047619,33,0.0,3.0
United States,Montana,Canola,1.4958444512626257,1.4530919028571436,33,0.0,4.0
United States,Nebraska,Wheat,2.6378239953102463,2.623585821428575,33,0.8787878787878788,1.0
United States,Nebraska,Barley,2.487026981601732,2.5977842380952407,33,0.12121212121212122,2.0
United States,Nebraska,Oats,2.1854721424242416,2.3093789238095233,33,0.0,3.0
United States,Nebraska,Canola,1.4651210992352084,1.4537637995238077,33,0.0,4.0
United States,North Dakota,Barley,2.9324844797979774,2.9405094523809474,33,1.0,1.0
United States,North Dakota,Wheat,2.4705901305916305,2.4464877500000055,33,0.0,2.0
United States,North Dakota,Oats,2.0805247005772007,2.1668212952380967,33,0.0,3.0
United States,North Dakota,Canola,1.6190100842424233,1.5789787566666658,33,0.0,4.0
United States,Oklahoma,Barley,2.034370239898989,2.079773499999999,33,0.7272727272727273,1.0
United States,Oklahoma,Wheat,1.9931360916305918,1.984576321428573,33,0.24242424242424243,2.0
United States,Oklahoma,Oats,1.3637401839105332,1.360623716666669,33,0.0,3.0
United States,Oklahoma,Canola,1.3489319295165918,1.374137489047617,33,0.030303030303030304,4.0
United States,South Dakota,Wheat,2.581634242784993,2.6970580476190475,33,0.5757575757575758,1.0
United States,South Dakota,Barley,2.4390192153679653,2.3952592619047626,33,0.3939393939393939,2.0
United States,South Dakota,Oats,2.339934677200578,2.4067574333333344,33,0.030303030303030304,3.0
United States,South Dakota,Canola,1.4574483715079358,1.471083600714286,33,0.0,4.0
United States,Texas,Barley,2.0662086994949496,2.0829694761904753,33,0.8484848484848485,1.0
United States,Texas,Wheat,2.004645448773449,2.0033550833333336,33,0.15151515151515152,2.0
United States,Texas,Oats,1.56906819062049,1.5698420095238086,33,0.0,3.0
United States,Texas,Canola,1.3139916069119746,1.2965886430952356,33,0.0,4.0
United States,Washington,Wheat,3.9341921529581536,3.985702547619046,33,0.9696969696969697,1.0
United States,Washington,Barley,3.294824956709956,3.336650380952382,33,0.030303030303030304,2.0
United States,Washington,Oats,2.475526485642134,2.460289138095235,33,0.0,3.0
United States,Washington,Canola,1.85474097867965,1.9204461961904726,33,0.0,4.0
