country,region,year_start,crop,predicted_yield_t_ha,rank_within_region_year
Australia,New South Wales,1989,Barley,1.5893950485734263,2.0
Australia,New South Wales,1989,Canola,0.9353330299887129,4.0
Australia,New South Wales,1989,Oats,1.2201226757639894,3.0
Australia,New South Wales,1989,Wheat,1.750052719766663,1.0
Australia,New South Wales,1990,Barley,1.7137783458941673,2.0
Australia,New South Wales,1990,Canola,1.2845308808510452,4.0
Australia,New South Wales,1990,Oats,1.502703584320099,3.0
Australia,New South Wales,1990,Wheat,1.926017595599198,1.0
Australia,New South Wales,1991,Barley,1.4806908711488793,2.0
Australia,New South Wales,1991,Canola,1.05087622750948,4.0
Australia,New South Wales,1991,Oats,1.269277483326078,3.0
Australia,New South Wales,1991,Wheat,1.5097834149768417,1.0
Australia,New South Wales,1992,Barley,2.023884362847094,2.0
Australia,New South Wales,1992,Canola,1.0591946473492735,4.0
Australia,New South Wales,1992,Oats,1.3800371498284576,3.0
Australia,New South Wales,1992,Wheat,2.315002165226245,1.0
Australia,New South Wales,1993,Barley,2.651780050468985,2.0
Australia,New South Wales,1993,Canola,1.7662763023653236,3.0
Australia,New South Wales,1993,Oats,1.671540833138587,4.0
Australia,New South Wales,1993,Wheat,2.709071660243726,1.0
Australia,New South Wales,1994,Barley,0.7125419316911639,1.0
Australia,New South Wales,1994,Canola,0.3607215220561565,4.0
Australia,New South Wales,1994,Oats,0.4268634463931019,3.0
Australia,New South Wales,1994,Wheat,0.6454525384228157,2.0
Australia,New South Wales,1995,Barley,1.837404861646209,2.0
Australia,New South Wales,1995,Canola,1.3894637627239896,4.0
Australia,New South Wales,1995,Oats,1.5530252815036911,3.0
Australia,New South Wales,1995,Wheat,1.9694764781528777,1.0
Australia,New South Wales,1996,Barley,2.265830964762479,2.0
Australia,New South Wales,1996,Canola,1.660108389483572,4.0
Australia,New South Wales,1996,Oats,1.814747384435453,3.0
Australia,New South Wales,1996,Wheat,2.5621706698761155,1.0
Australia,New South Wales,1997,Barley,1.9049141215601293,2.0
Australia,New South Wales,1997,Canola,1.3478058567633495,4.0
Australia,New South Wales,1997,Oats,1.479210655320956,3.0
Australia,New South Wales,1997,Wheat,2.0937890357272844,1.0
Australia,New South Wales,1998,Barley,2.0253878963875773,2.0
Australia,New South Wales,1998,Canola,1.5425637145133815,4.0
Australia,New South Wales,1998,Oats,1.7367289197710494,3.0
Australia,New South Wales,1998,Wheat,2.121865660452644,1.0
Australia,New South Wales,1999,Barley,2.336564447153841,2.0
Australia,New South Wales,1999,Canola,1.3838995213708103,4.0
Australia,New South Wales,1999,Oats,1.7325814148528196,3.0
Australia,New South Wales,1999,Wheat,2.497938121979641,1.0
Australia,New South Wales,2000,Barley,1.9749597848362048,2.0
Australia,New South Wales,2000,Canola,1.441641977014298,4.0
Australia,New South Wales,2000,Oats,1.6236992724874175,3.0
Australia,New South Wales,2000,Wheat,2.1469124358042864,1.0
Australia,New South Wales,2001,Barley,1.9736146153217524,2.0
Australia,New South Wales,2001,Canola,1.3080699345461897,4.0
Australia,New South Wales,2001,Oats,1.5940090145729087,3.0
Australia,New South Wales,2001,Wheat,2.033056797554967,1.0
Australia,New South Wales,2002,Barley,0.674546897230268,2.0
Australia,New South Wales,2002,Canola,0.2267848743125681,4.0
Australia,New South Wales,2002,Oats,0.4206126928676648,3.0
Australia,New South Wales,2002,Wheat,0.8562492046831454,1.0
Australia,New South Wales,2003,Barley,1.8282225508043004,2.0
Australia,New South Wales,2003,Canola,1.0589122852857682,4.0
Australia,New South Wales,2003,Oats,1.358354834877302,3.0
Australia,New South Wales,2003,Wheat,1.9933802504141522,1.0
Australia,New South Wales,2004,Barley,1.6259056678821275,2.0
Australia,New South Wales,2004,Canola,1.0460531405036628,4.0
Australia,New South Wales,2004,Oats,1.212291189992682,3.0
Australia,New South Wales,2004,Wheat,1.777174734446975,1.0
Australia,New South Wales,2005,Barley,2.120589128973182,2.0
Australia,New South Wales,2005,Canola,1.3534818630765055,4.0
Australia,New South Wales,2005,Oats,1.6309439153014178,3.0
Australia,New South Wales,2005,Wheat,2.1308237367791207,1.0
Australia,New South Wales,2006,Barley,0.773392236150725,1.0
Australia,New South Wales,2006,Canola,0.24458509515999394,4.0
Australia,New South Wales,2006,Oats,0.264187253194448,3.0
