country,region,year_start,crop,predicted_yield_t_ha,rank_within_region_year
Australia,New South Wales,1989,Barley,1.6490056216519697,2.0
Australia,New South Wales,1989,Canola,1.1668392701311574,4.0
Australia,New South Wales,1989,Oats,1.416614013808379,3.0
Australia,New South Wales,1989,Wheat,1.963109709858398,1.0
Australia,New South Wales,1990,Barley,1.7917409070292218,2.0
Australia,New South Wales,1990,Canola,1.3931128175950478,4.0
Australia,New South Wales,1990,Oats,1.6276583073234931,3.0
Australia,New South Wales,1990,Wheat,2.4643618211683354,1.0
Australia,New South Wales,1991,Barley,1.435113789705435,3.0
Australia,New South Wales,1991,Canola,1.0808122142692755,4.0
Australia,New South Wales,1991,Oats,1.4516833228678117,2.0
Australia,New South Wales,1991,Wheat,2.215680176283483,1.0
Australia,New South Wales,1992,Barley,2.0750331349014086,2.0
Australia,New South Wales,1992,Canola,1.5693986808727418,4.0
Australia,New South Wales,1992,Oats,1.5959445640609369,3.0
Australia,New South Wales,1992,Wheat,2.3328268095738247,1.0
Australia,New South Wales,1993,Barley,2.2255979274650666,2.0
Australia,New South Wales,1993,Canola,1.7548946165199597,4.0
Australia,New South Wales,1993,Oats,1.8166010244792004,3.0
Australia,New South Wales,1993,Wheat,2.8075920281899864,1.0
Australia,New South Wales,1994,Barley,0.5407681153078938,2.0
Australia,New South Wales,1994,Canola,0.39746633213452376,4.0
Australia,New South Wales,1994,Oats,0.4020067611847894,3.0
Australia,New South Wales,1994,Wheat,0.8443246661333523,1.0
Australia,New South Wales,1995,Barley,1.9517735912737058,2.0
Australia,New South Wales,1995,Canola,1.417441480783808,4.0
Australia,New South Wales,1995,Oats,1.4190728240959825,3.0
Australia,New South Wales,1995,Wheat,1.9783148190739728,1.0
Australia,New South Wales,1996,Barley,2.504734502102371,1.0
Australia,New South Wales,1996,Canola,1.6930393665525165,4.0
Australia,New South Wales,1996,Oats,1.8574270083231843,3.0
Australia,New South Wales,1996,Wheat,2.46567259554615,2.0
Australia,New South Wales,1997,Barley,1.8366934219763849,2.0
Australia,New South Wales,1997,Canola,1.3474553419235638,4.0
Australia,New South Wales,1997,Oats,1.4554320687062579,3.0
Australia,New South Wales,1997,Wheat,1.958716217718837,1.0
Australia,New South Wales,1998,Barley,2.0360273607984922,2.0
Australia,New South Wales,1998,Canola,1.3260978379282222,4.0
Australia,New South Wales,1998,Oats,1.775719155699985,3.0
Australia,New South Wales,1998,Wheat,2.284091241664705,1.0
Australia,New South Wales,1999,Barley,2.206623031928987,2.0
Australia,New South Wales,1999,Canola,1.6636664116577826,4.0
Australia,New South Wales,1999,Oats,1.7497471039262802,3.0
Australia,New South Wales,1999,Wheat,2.558108571635362,1.0
Australia,New South Wales,2000,Barley,2.007347881593268,2.0
Australia,New South Wales,2000,Canola,1.493360857301774,4.0
Australia,New South Wales,2000,Oats,1.6318681556899381,3.0
Australia,New South Wales,2000,Wheat,2.2781615249595406,1.0
Australia,New South Wales,2001,Barley,2.0678604166726426,2.0
Australia,New South Wales,2001,Canola,1.5862278757437283,4.0
Australia,New South Wales,2001,Oats,1.6312242635611822,3.0
Australia,New South Wales,2001,Wheat,2.3364184036117854,1.0
Australia,New South Wales,2002,Barley,0.7649361509730737,2.0
Australia,New South Wales,2002,Canola,0.3620919583320654,3.0
Australia,New South Wales,2002,Oats,0.3221659384672749,4.0
Australia,New South Wales,2002,Wheat,0.7916102521350763,1.0
Australia,New South Wales,2003,Barley,1.801596158002806,2.0
Australia,New South Wales,2003,Canola,1.2625994927085675,4.0
Australia,New South Wales,2003,Oats,1.3387443210152141,3.0
Australia,New South Wales,2003,Wheat,2.1006129187378173,1.0
