country,region,year_start,crop,predicted_yield_t_ha,rank_within_region_year
United States,Colorado,1989,Barley,4.217843142857144,1.0
United States,Colorado,1989,Canola,1.9292436428571418,3.0
United States,Colorado,1989,Oats,1.9594407857142826,2.0
United States,Colorado,1989,Wheat,1.9040023690476193,4.0
United States,Colorado,1990,Barley,4.258628666666671,1.0
United States,Colorado,1990,Canola,2.0290905690476206,3.0
United States,Colorado,1990,Oats,1.9580497952380973,4.0
United States,Colorado,1990,Wheat,2.1070610119047624,2.0
United States,Colorado,1991,Barley,4.312300571428559,1.0
United States,Colorado,1991,Canola,2.1350278952380943,3.0
United States,Colorado,1991,Oats,2.1479332571428578,2.0
United States,Colorado,1991,Wheat,2.1290462380952335,4.0
United States,Colorado,1992,Barley,4.426126000000002,1.0
United States,Colorado,1992,Canola,2.106404541666667,3.0
United States,Colorado,1992,Oats,2.1396091547619056,2.0
United States,Colorado,1992,Wheat,2.081154119047618,4.0
United States,Colorado,1993,Barley,4.617423428571437,1.0
United States,Colorado,1993,Canola,2.373937297619044,3.0
United States,Colorado,1993,Oats,2.263153014285712,4.0
United States,Colorado,1993,Wheat,2.5360125119047567,2.0
United States,Colorado,1994,Barley,4.950342952380959,1.0
United States,Colorado,1994,Canola,2.0945716214285732,3.0
United States,Colorado,1994,Oats,2.1469568428571426,2.0
United States,Colorado,1994,Wheat,2.0592275357142897,4.0
United States,Colorado,1995,Barley,5.344210190476193,1.0
United States,Colorado,1995,Canola,2.391837871428569,3.0
United States,Colorado,1995,Oats,2.268075061904763,4.0
United States,Colorado,1995,Wheat,2.5657513428571357,2.0
United States,Colorado,1996,Barley,5.509734857142855,1.0
United States,Colorado,1996,Canola,2.0663305452380976,3.0
United States,Colorado,1996,Oats,1.9950143714285724,4.0
United States,Colorado,1996,Wheat,2.1352329285714315,2.0
United States,Colorado,1997,Barley,5.811834666666685,1.0
United States,Colorado,1997,Canola,2.3338409238095257,3.0
United States,Colorado,1997,Oats,2.3535133666666668,2.0
United States,Colorado,1997,Wheat,2.301390240476195,4.0
United States,Colorado,1998,Barley,6.127051428571424,1.0
United States,Colorado,1998,Canola,2.586002357142858,3.0
United States,Colorado,1998,Oats,2.4853378666666703,4.0
United States,Colorado,1998,Wheat,2.687726952380953,2.0
United States,Colorado,1999,Barley,5.683636952380968,1.0
United States,Colorado,1999,Canola,2.523067949999993,3.0
United States,Colorado,1999,Oats,2.3442064999999976,4.0
United States,Colorado,1999,Wheat,2.7790399166666573,2.0
United States,Colorado,2000,Barley,6.14201295238095,1.0
United States,Colorado,2000,Canola,2.117271093571432,3.0
United States,Colorado,2000,Oats,2.240474933333335,2.0
United States,Colorado,2000,Wheat,2.013203395238099,4.0
United States,Colorado,2001,Barley,5.798102857142858,1.0
United States,Colorado,2001,Canola,2.2245052761904778,3.0
United States,Colorado,2001,Oats,2.1765730476190503,4.0
United States,Colorado,2001,Wheat,2.2695783095238085,2.0
United States,Colorado,2002,Barley,5.6714679047619105,1.0
United States,Colorado,2002,Canola,1.6891912495238182,3.0
United States,Colorado,2002,Oats,1.738903523809532,2.0
United States,Colorado,2002,Wheat,1.637112404761914,4.0
United States,Colorado,2003,Barley,5.864379333333338,1.0
United States,Colorado,2003,Canola,2.320080361904764,3.0
United States,Colorado,2003,Oats,2.3467903928571436,2.0
United States,Colorado,2003,Wheat,2.303678476190481,4.0
United States,Colorado,2004,Barley,6.351704857142869,1.0
United States,Colorado,2004,Canola,1.9099744190476173,3.0
United States,Colorado,2004,Oats,1.967954528571424,2.0
United States,Colorado,2004,Wheat,1.845532654761905,4.0
United States,Colorado,2005,Barley,6.808671809523804,1.0
United States,Colorado,2005,Canola,2.1369418880952393,3.0
United States,Colorado,2005,Oats,2.501871409523814,2.0
United States,Colorado,2005,Wheat,1.8307873214285717,4.0
United States,Colorado,2006,Barley,6.253071523809523,1.0
United States,Colorado,2006,Canola,1.9936953119047633,3.0
United States,Colorado,2006,Oats,2.3477988619047627,2.0
United States,Colorado,2006,Wheat,1.6681714047619056,4.0
United States,Colorado,2007,Barley,6.47949266666666,1.0
United States,Colorado,2007,Canola,2.311212007142862,3.0
United States,Colorado,2007,Oats,2.1233542619047654,4.0
United States,Colorado,2007,Wheat,2.495724559523815,2.0
United States,Colorado,2008,Barley,6.514232095238092,1.0
United States,Colorado,2008,Canola,2.315421947619045,3.0
United States,Colorado,2008,Oats,2.4327264999999976,2.0
United States,Colorado,2008,Wheat,2.2201198333333316,4.0
United States,Colorado,2009,Barley,7.1500456190476,1.0
United States,Colorado,2009,Canola,2.527608547619041,3.0
United States,Colorado,2009,Oats,2.3891642190476134,4.0
United States,Colorado,2009,Wheat,2.7201437738095153,2.0
