country,region,year_start,weather_regime,best_crop,best_predicted_yield_t_ha,season_rain_sum,season_rain_mean,heat_days_35,hot_dry_days_30_1mm,max_dry_spell_1mm,max_3day_rain,rain_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0,runner_up_crop,runner_up_predicted_yield_t_ha,best_crop_yield_advantage_t_ha
Australia,New South Wales,1989,Wet/storm risk,Wheat,1.963109709858398,314.6,1.7097826086956522,0,0,16,41.5,33.8,1,14,Barley,1.6490056216519695,0.31410408820642854
Australia,New South Wales,1990,Wet/storm risk,Wheat,2.464361821168336,436.8,2.373913043478261,0,4,16,53.5,47.0,1,9,Barley,1.7917409070292218,0.672620914139114
Australia,New South Wales,1991,Wet/storm risk,Wheat,2.215680176283483,361.4,1.9641304347826083,0,3,20,83.69999999999999,10.8,0,7,Oats,1.4516833228678117,0.7639968534156711
Australia,New South Wales,1992,Wet/storm risk,Wheat,2.3328268095738247,344.79999999999995,1.8739130434782607,0,0,16,61.2,73.9,1,27,Barley,2.0750331349014086,0.2577936746724161
Australia,New South Wales,1993,Wet/storm risk,Wheat,2.8075920281899864,490.9,2.6679347826086954,0,0,23,67.2,31.5,0,11,Barley,2.2255979274650666,0.5819941007249199
Australia,New South Wales,1994,Cold/frost stress,Wheat,0.8443246661333523,103.7,0.5635869565217391,0,2,19,14.9,13.1,0,46,Barley,0.5407681153078938,0.3035565508254585
Australia,New South Wales,1995,Wet/storm risk,Wheat,1.9783148190739728,392.0,2.130434782608696,0,1,16,50.3,18.2,0,20,Barley,1.9517735912737055,0.026541227800267242
Australia,New South Wales,1996,Wet/storm risk,Barley,2.504734502102371,388.8,2.1130434782608694,0,1,19,48.0,20.700000000000003,1,17,Wheat,2.46567259554615,0.03906190655622099
Australia,New South Wales,1997,Cold/frost stress,Wheat,1.958716217718837,298.20000000000005,1.6206521739130435,0,5,22,31.3,4.4,0,35,Barley,1.8366934219763849,0.12202279574245223
Australia,New South Wales,1998,Wet/storm risk,Wheat,2.284091241664705,364.4,1.980434782608696,0,0,17,71.3,19.90000000000001,0,18,Barley,2.036027360798492,0.248063880866213
Australia,New South Wales,1999,Wet/storm risk,Wheat,2.558108571635362,322.8,1.7543478260869565,0,0,17,50.7,32.4,0,26,Barley,2.206623031928987,0.35148553970637497
Australia,New South Wales,2000,Wet/storm risk,Wheat,2.2781615249595406,343.6,1.8673913043478263,0,2,15,42.8,39.0,0,24,Barley,2.007347881593268,0.27081364336627267
Australia,New South Wales,2001,Cold/frost stress,Wheat,2.336418403611785,227.6,1.2369565217391305,0,0,13,21.4,14.0,0,30,Barley,2.067860416672642,0.2685579869391428
Australia,New South Wales,2002,Cold/frost stress,Wheat,0.7916102521350763,161.5,0.8777173913043478,0,1,25,38.3,0.3,0,34,Barley,0.7649361509730737,0.02667410116200264
Australia,New South Wales,2003,Moderate season,Wheat,2.1006129187378173,266.40000000000003,1.4478260869565218,0,0,15,37.7,10.9,0,14,Barley,1.801596158002806,0.2990167607350114
Australia,New South Wales,2004,Moderate season,Wheat,1.7494144427357408,244.3,1.3277173913043476,0,3,21,37.1,7.7,0,15,Barley,1.6478990722759996,0.10151537045974113
Australia,New South Wales,2005,Wet/storm risk,Wheat,2.366071472852722,371.6,2.019565217391304,0,0,24,38.7,49.0,1,27,Barley,2.19864589065727,0.167425582195452
Australia,New South Wales,2006,Dry-spell stress,Barley,0.8191303445560199,122.9,0.6679347826086957,1,5,54,26.9,0.1,0,65,Wheat,0.757293108392961,0.061837236163058806
Australia,New South Wales,2007,Dry-spell stress,Wheat,0.8100208160289357,188.4,1.0239130434782608,0,5,34,33.8,37.2,1,34,Barley,0.7874312579138942,0.022589558115041486
Australia,New South Wales,2008,Cold/frost stress,Wheat,1.556005688788229,166.4,0.9043478260869564,0,10,23,23.3,1.7,0,30,Barley,1.311001541949794,0.24500414683843497
Australia,New South Wales,2009,Moderate season,Barley,1.340837815343754,166.89999999999998,0.9070652173913042,0,8,25,19.3,2.8,0,24,Wheat,1.1754312416209551,0.16540657372279877
Australia,New South Wales,2010,Wet/storm risk,Wheat,2.654951714250358,360.7,1.9603260869565216,0,0,19,57.3,19.4,1,29,Barley,2.546354332823218,0.10859738142714015
Australia,New South Wales,2011,Cold/frost stress,Barley,2.237078405126862,200.2,1.0880434782608694,0,3,21,33.0,2.6,0,44,Wheat,2.1193509777122697,0.11772742741459252
Australia,New South Wales,2012,Cold/frost stress,Barley,2.1577386619505288,197.3,1.0722826086956525,0,3,21,40.0,0.0,0,57,Wheat,1.8968320221136772,0.2609066398368516
Australia,New South Wales,2013,Cold/frost stress,Barley,2.193605371625011,260.7,1.4168478260869564,1,3,18,47.4,10.8,0,27,Wheat,1.883632236261552,0.30997313536345894
