country,weather_regime,crop,mean_predicted_yield_t_ha,median_predicted_yield_t_ha,best_crop_count,region_year_rows,best_crop_share,rank_by_regime_mean_yield
Australia,Cold/frost stress,Wheat,2.862491237850027,2.719405864677273,16,21,0.7619047619047619,1.0
Australia,Cold/frost stress,Barley,2.336226440050011,2.606978222558345,5,21,0.23809523809523808,2.0
Australia,Cold/frost stress,Oats,1.5684630980092484,1.6312242635611822,0,21,0.0,3.0
Australia,Cold/frost stress,Canola,1.3130290711711468,1.377802941764381,0,21,0.0,4.0
Australia,Dry-spell stress,Barley,1.5234955219349071,1.4658783188877549,10,15,0.6666666666666666,1.0
Australia,Dry-spell stress,Wheat,1.406680899838708,1.3503904163364655,3,15,0.2,2.0
Australia,Dry-spell stress,Oats,0.9145139501431383,0.9015974638103192,2,15,0.13333333333333333,3.0
Australia,Dry-spell stress,Canola,0.7112386191040077,0.8375826098162991,0,15,0.0,4.0
Australia,Hot-dry stress,Barley,1.661454407132696,1.6928565036532577,24,33,0.7272727272727273,1.0
Australia,Hot-dry stress,Wheat,1.4892523894993057,1.5440946890934546,8,33,0.24242424242424243,2.0
Australia,Hot-dry stress,Oats,1.1513179538752982,1.255252297855492,1,33,0.030303030303030304,3.0
Australia,Hot-dry stress,Canola,0.9514170203724173,0.969401967055552,0,33,0.0,4.0
Australia,Moderate season,Barley,1.9223680363700029,1.876617040969232,35,57,0.6140350877192983,1.0
Australia,Moderate season,Wheat,1.8976506094045076,1.7990533682661698,13,57,0.22807017543859648,2.0
Australia,Moderate season,Oats,1.630625272542034,1.6417555177741536,9,57,0.15789473684210525,3.0
Australia,Moderate season,Canola,1.2452110006223098,1.2924363646958188,0,57,0.0,4.0
Australia,Wet/storm risk,Wheat,2.6677734548467673,2.3080692693381106,41,72,0.5694444444444444,1.0
Australia,Wet/storm risk,Barley,2.3894031152585806,2.2322029699908654,24,72,0.3333333333333333,2.0
Australia,Wet/storm risk,Oats,1.8135041826740295,1.8289111555235382,7,72,0.09722222222222222,3.0
Australia,Wet/storm risk,Canola,1.4334320498327182,1.4113689445321564,0,72,0.0,4.0
United States,Cold/frost stress,Barley,3.916555675802545,3.3049067181839904,56,58,0.9655172413793104,1.0
United States,Cold/frost stress,Wheat,2.4126015266897465,2.4177364531515257,2,58,0.034482758620689655,2.0
United States,Cold/frost stress,Oats,2.103572099322265,2.0972580898786006,0,58,0.0,3.0
United States,Cold/frost stress,Canola,1.8438540340475935,1.7626790246752564,0,58,0.0,4.0
United States,Dry-spell stress,Barley,3.7605854298141885,3.324438224433792,19,43,0.4418604651162791,1.0
United States,Dry-spell stress,Wheat,3.1398796294994247,3.3273798238172887,24,43,0.5581395348837209,2.0
United States,Dry-spell stress,Oats,2.223744931981011,2.22514239422358,0,43,0.0,3.0
United States,Dry-spell stress,Canola,1.93850009629326,2.012844155230968,0,43,0.0,4.0
United States,Hot-dry stress,Wheat,2.3130000332106935,2.196202921904275,52,89,0.5842696629213483,1.0
United States,Hot-dry stress,Barley,2.233963062653333,2.170748497466059,37,89,0.4157303370786517,2.0
United States,Hot-dry stress,Oats,1.7070422821341873,1.62465474424301,0,89,0.0,3.0
United States,Hot-dry stress,Canola,1.583613243027805,1.5665906913458816,0,89,0.0,4.0
United States,Moderate season,Barley,2.988405227455923,2.9632516846133843,39,76,0.5131578947368421,1.0
United States,Moderate season,Wheat,2.928077274806618,2.925519837765493,37,76,0.4868421052631579,2.0
United States,Moderate season,Oats,2.2736170015009485,2.2894526069373438,0,76,0.0,3.0
United States,Moderate season,Canola,1.84513726181316,1.8096023843563986,0,76,0.0,4.0
United States,Wet/storm risk,Barley,3.1765156497257716,3.136085159427471,74,130,0.5692307692307692,1.0
United States,Wet/storm risk,Wheat,3.072406342720383,3.017134018161549,56,130,0.4307692307692308,2.0
United States,Wet/storm risk,Oats,2.2846147396221745,2.280837477692675,0,130,0.0,3.0
United States,Wet/storm risk,Canola,1.8558309964823316,1.850074887124367,0,130,0.0,4.0
