country,crop,feature,feature_label,mean_standardized_delta_high_minus_low,mean_raw_delta_high_minus_low,unit,region_count
Australia,Barley,dry_spell_events_14d,long dry-spell events,-0.6753349814896134,-0.7407407407407406,events,6
Australia,Barley,frost_days_0,frost days,-0.697738303493856,-4.259259259259259,days,6
Australia,Barley,growing_degree_days_base5,growing degree days,-0.12897449503788205,-11.704629629629721,degree-days,6
Australia,Barley,heat_days_35,very hot days,-0.4415559391019605,-0.39999999999999997,days,5
Australia,Barley,hot_dry_days_30_1mm,hot-dry days,-0.8359844302093166,-3.1111111111111116,days,5
Australia,Barley,max_3day_rain,max 3-day rain,0.8834682698645616,17.19074074074074,mm,6
Australia,Barley,max_7day_rain,max 7-day rain,0.8712631403831067,21.00740740740741,mm,6
Australia,Barley,max_consecutive_heat_days_35,longest heat spell,-0.6417336307071716,-0.4222222222222222,days,5
Australia,Barley,max_dry_spell_1mm,longest dry spell,-0.6462889313822459,-6.314814814814814,days,6
Australia,Barley,radiation_sum_late_y,late-season radiation,-1.1089261630456655,-72.662962962963,MJ/m2,6
Australia,Barley,radiation_sum_mid_y,mid-season radiation,-0.5078889399462434,-25.774074074074036,MJ/m2,6
Australia,Barley,rain_last_14d_before_harvest,late-season rain,0.645235831720134,11.170370370370371,mm,6
Australia,Barley,season_radiation_sum,season radiation,-1.0997899132190845,-103.85000000000007,MJ/m2,6
Australia,Barley,season_rain_mean,daily rain,1.214192203303224,0.5752616747181966,mm/day,6
Australia,Barley,season_rain_sum,season rain,1.214192203303224,105.84814814814818,mm,6
Australia,Barley,season_tmax_mean,mean max temp,-0.4714277628641175,-0.4128119967793881,C,6
Australia,Barley,season_tmin_mean,mean min temp,0.49551293293519016,0.29061996779388083,C,6
Australia,Barley,storm_before_harvest_flag,storm-before-harvest flag,0.40055452179050327,0.14814814814814814,flag,6
Australia,Canola,dry_spell_events_14d,long dry-spell events,-0.8009453689535366,-0.9282407407407408,events,6
Australia,Canola,frost_days_0,frost days,-0.8419529189582659,-5.615740740740741,days,6
Australia,Canola,growing_degree_days_base5,growing degree days,-0.13959512094160162,-15.29444444444446,degree-days,6
Australia,Canola,heat_days_35,very hot days,-0.478245529803732,-0.3861111111111112,days,5
Australia,Canola,hot_dry_days_30_1mm,hot-dry days,-0.9383116441085878,-3.4944444444444445,days,5
Australia,Canola,max_3day_rain,max 3-day rain,0.7076479872345827,12.274074074074072,mm,6
Australia,Canola,max_7day_rain,max 7-day rain,0.7595109691691043,16.965509259259264,mm,6
Australia,Canola,max_consecutive_heat_days_35,longest heat spell,-0.5819550316195565,-0.3416666666666667,days,5
Australia,Canola,max_dry_spell_1mm,longest dry spell,-0.7972210033045757,-7.141203703703702,days,6
Australia,Canola,radiation_sum_late_y,late-season radiation,-1.169822898826521,-78.39375,MJ/m2,6
Australia,Canola,radiation_sum_mid_y,mid-season radiation,-0.5029729041555995,-27.312268518518504,MJ/m2,6
Australia,Canola,rain_last_14d_before_harvest,late-season rain,0.7134690185805538,12.779398148148147,mm,6
Australia,Canola,season_radiation_sum,season radiation,-1.2047367296956022,-117.01365740740766,MJ/m2,6
Australia,Canola,season_rain_mean,daily rain,1.140641192454502,0.5493911030595813,mm/day,6
Australia,Canola,season_rain_sum,season rain,1.1406411924545024,101.08796296296298,mm,6
Australia,Canola,season_tmax_mean,mean max temp,-0.5938658579645969,-0.5188808373590946,C,6
Australia,Canola,season_tmin_mean,mean min temp,0.6010227260659103,0.3629730273752012,C,6
Australia,Canola,storm_before_harvest_flag,storm-before-harvest flag,0.45405053143571644,0.17129629629629628,flag,6
Australia,Oats,dry_spell_events_14d,long dry-spell events,-0.8463372255223662,-0.9814814814814815,events,6
Australia,Oats,frost_days_0,frost days,-0.7304080847138609,-6.203703703703705,days,6
Australia,Oats,growing_degree_days_base5,growing degree days,-0.1288617368018027,-16.39074074074087,degree-days,6
Australia,Oats,heat_days_35,very hot days,-0.43494001645368885,-0.35555555555555557,days,5
Australia,Oats,hot_dry_days_30_1mm,hot-dry days,-0.9685201030220092,-3.577777777777778,days,5
