country,region,crop,early_observed_yield_1989_2000,late_observed_yield_2010_2021,delta_observed_yield_t_ha,early_predicted_yield_1989_2000,late_predicted_yield_2010_2021,delta_predicted_yield_t_ha,observed_slope_t_ha_per_year,predicted_slope_t_ha_per_year,observed_change_status,predicted_change_status,rows
Australia,Tasmania,Wheat,3.5353780904767755,5.521812069210518,1.9864339787337424,3.6057778637683335,4.617425243137322,1.0116473793689882,0.09688942587177822,0.04539269994064541,increase,increase,33
United States,Colorado,Barley,5.106516666666667,7.029866666666668,1.923350000000001,5.190775600067377,6.3746023408864225,1.183826740819046,0.09522887700534748,0.05843954762904538,increase,increase,33
Australia,Tasmania,Barley,2.559203570718159,4.066094732812768,1.5068911620946093,2.6446966984370444,3.566729142489001,0.9220324440519567,0.07100968899554547,0.04167349711651638,increase,increase,33
United States,Minnesota,Wheat,2.5874437500000003,3.766560416666667,1.1791166666666668,2.6436119043238597,3.3329607482841506,0.6893488439602908,0.0523614973262031,0.03156214389465344,increase,increase,33
United States,Illinois,Wheat,3.3961249999999996,4.544979166666667,1.1488541666666672,3.4174595597618236,4.326297537187051,0.9088379774252271,0.05502272727272697,0.04375189658167465,increase,increase,33
Australia,Tasmania,Canola,1.1251478463842333,2.1744208328968617,1.0492729865126285,1.2464297386670686,1.9954658219902184,0.7490360833231497,0.055212019332779194,0.03448066429223557,increase,increase,33
United States,Iowa,Wheat,2.7068125,3.609083333333333,0.9022708333333331,2.821075948151391,3.534738712926059,0.7136627647746678,0.046798220244716825,0.03888056020557834,increase,increase,30
United States,North Dakota,Wheat,2.0746625,2.8816625000000005,0.8070000000000004,2.1605979669256783,2.8193666304396063,0.658768663513928,0.03563216076203212,0.03148148555258287,increase,increase,33
United States,South Dakota,Wheat,2.212525,3.0099979166666664,0.7974729166666665,2.328556812121064,3.1318728314537956,0.8033160193327316,0.03817201704545453,0.04131633338254256,increase,increase,33
United States,South Dakota,Oats,2.026655,2.729109166666667,0.702454166666667,2.057221102491614,2.600337257994041,0.5431161555024269,0.03417960227272735,0.028537088378153927,increase,increase,33
United States,North Dakota,Barley,2.739316666666667,3.4028500000000004,0.6635333333333335,2.7142014959737786,3.3225926133257224,0.6083911173519438,0.03125147058823545,0.028325988040722894,increase,increase,33
Australia,Western Australia,Barley,1.6921477131407554,2.347244986669504,0.6550972735287488,1.7307439815010968,2.154647975898335,0.423903994397238,0.03206714098478007,0.020884371780383354,increase,increase,33
