country,region,crop,low_group_mean_observed_yield_t_ha,high_group_mean_observed_yield_t_ha,observed_yield_gap_high_minus_low_t_ha,low_group_mean_predicted_yield_t_ha,high_group_mean_predicted_yield_t_ha,predicted_yield_gap_high_minus_low_t_ha,top_weather_driver_story,low_group_years,high_group_years
United States,Colorado,Barley,4.782222222222222,6.8624888888888895,2.0802666666666676,4.917758446548941,6.584384037018885,1.6666255904699439,higher mean min temp (+0.6 C); higher growing degree days (+114.3 degree-days); higher mean max temp (+0.7 C); more longest dry spell (+4.1 days),"1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 2002","2005, 2009, 2010, 2011, 2012, 2015, 2016, 2017, 2021"
Australia,New South Wales,Wheat,1.0028138747948396,2.6882350385127074,1.6854211637178678,1.0809044530359235,2.705341012720018,1.6244365596840946,higher season rain (+255.1 mm); higher daily rain (+1.4 mm/day); more max 3-day rain (+27.8 mm); lower season radiation (-185.1 MJ/m2),"1994, 2002, 2006, 2007, 2008, 2009, 2017, 2018, 2019","1990, 1993, 1996, 1999, 2005, 2010, 2016, 2020, 2021"
Australia,New South Wales,Barley,1.0690157873001012,2.519659595436839,1.4506438081367377,1.0784952810520207,2.5704228485708023,1.4919275675187815,higher daily rain (+1.1 mm/day); higher season rain (+194.7 mm); lower late-season radiation (-113.4 MJ/m2); lower season radiation (-167.7 MJ/m2),"1991, 1994, 2002, 2006, 2007, 2008, 2009, 2018, 2019","1993, 1996, 1999, 2010, 2011, 2015, 2016, 2020, 2021"
Australia,Tasmania,Wheat,3.1606869008184795,5.530682456234573,2.369995555416094,3.3267886801988613,4.746409589253918,1.4196209090550571,lower late-season radiation (-56.8 MJ/m2); lower season radiation (-80.7 MJ/m2); higher growing degree days (+70.3 degree-days); higher mean max temp (+0.4 C),"1989, 1990, 1991, 1993, 1994, 1996, 1999, 2003, 2006","2005, 2011, 2012, 2013, 2014, 2015, 2016, 2020, 2021"
Australia,Victoria,Wheat,1.2400747837595003,2.5622047236979864,1.322129939938486,1.2777133373544278,2.6666988430498186,1.3889855056953908,higher season rain (+163.6 mm); higher daily rain (+0.9 mm/day); more late-season rain (+29.0 mm); more max 3-day rain (+24.7 mm),"1994, 2002, 2004, 2006, 2007, 2008, 2014, 2015, 2018","1992, 1995, 2000, 2001, 2003, 2010, 2011, 2016, 2021"
Australia,Victoria,Barley,1.1909659156918309,2.513154603854928,1.322188688163097,1.1535368290130394,2.4872003823357156,1.3336635533226762,lower late-season radiation (-97.9 MJ/m2); less hot-dry days (-3.7 days); higher season rain (+122.7 mm); higher daily rain (+0.7 mm/day),"1990, 1994, 2002, 2004, 2006, 2007, 2008, 2014, 2015","2000, 2001, 2003, 2005, 2010, 2011, 2013, 2016, 2021"
United States,Illinois,Wheat,3.1233888888888885,4.558055555555556,1.4346666666666672,3.1907414216714303,4.470525490116575,1.279784068445145,higher growing degree days (+150.1 degree-days); higher mean min temp (+0.8 C); higher mean max temp (+0.9 C); higher season radiation (+103.3 MJ/m2),"1990, 1991, 1992, 1993, 1994, 1995, 1996, 1998, 2002","2003, 2006, 2012, 2013, 2014, 2018, 2019, 2020, 2021"
United States,Iowa,Wheat,2.63115625,3.9005,1.26934375,2.6371575193219914,3.8925029769110617,1.2553454575890703,more hot-dry days (+16.4 days); higher growing degree days (+174.5 degree-days); higher mean max temp (+1.3 C); lower daily rain (-0.8 mm/day),"1991, 1992, 1993, 1994, 1996, 1998, 1999, 2010","2003, 2004, 2005, 2006, 2014, 2015, 2016, 2017"
Australia,New South Wales,Oats,0.5618531801295128,1.5947008581273985,1.0328476779978857,0.6124015266101179,1.859523925038532,1.247122398428414,higher season rain (+243.9 mm); higher daily rain (+1.3 mm/day); more max 3-day rain (+30.2 mm); lower season radiation (-205.6 MJ/m2),"1994, 2002, 2006, 2007, 2008, 2009, 2017, 2018, 2019","1993, 1996, 1998, 1999, 2000, 2010, 2016, 2020, 2021"
Australia,Queensland,Barley,1.141915675827609,2.2814463202115784,1.1395306443839694,1.1087590623683505,2.3476820540485135,1.238922991680163,higher daily rain (+0.6 mm/day); higher season rain (+106.1 mm); more max 7-day rain (+44.7 mm); more max 3-day rain (+36.2 mm),"1991, 1993, 1994, 1995, 2000, 2002, 2006, 2007, 2014","1990, 1996, 2008, 2011, 2015, 2016, 2018, 2020, 2021"
United States,South Dakota,Wheat,2.0795194444444443,2.9866472222222225,0.9071277777777782,2.0976224575792477,3.326354205656555,1.2287317480773075,less long dry-spell events (-0.8 events); less frost days (-3.6 days); higher mean min temp (+0.6 C); less longest dry spell (-4.8 days),"1989, 1990, 1991, 1993, 1995, 1997, 2002, 2006, 2011","2004, 2007, 2013, 2014, 2016, 2017, 2018, 2019, 2021"
United States,Minnesota,Wheat,2.312652777777778,3.810833333333333,1.498180555555555,2.4155750228926345,3.619919962133303,1.2043449392406687,higher season radiation (+81.2 MJ/m2); less frost days (-2.8 days); more late-season rain (+7.8 mm); higher growing degree days (+59.6 degree-days),"1991, 1993, 1994, 1995, 1997, 1998, 1999, 2002, 2005","2003, 2008, 2009, 2013, 2015, 2016, 2017, 2020, 2021"
Australia,Tasmania,Barley,2.4317012902942383,4.024616436339075,1.5929151460448367,2.487708996921494,3.688300087740032,1.2005910908185382,lower late-season radiation (-45.7 MJ/m2); higher mean max temp (+0.4 C); higher growing degree days (+52.9 degree-days); lower season radiation (-55.5 MJ/m2),"1989, 1990, 1991, 1993, 1994, 1996, 1997, 1999, 2006","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021"
