dataset,feature_set,model,numeric_features,categorical_features,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2,train_rows,validation_rows,train_validation_rows,test_rows
aus_us_overlap,crop + region + year only,Ridge,1,3,0.4543856145779186,0.6939089070988455,0.5797324282095289,0.610026572340021,0.8765986028318187,0.5051082528785674,1293,300,1593,353
aus_us_overlap,crop + region + year only,ElasticNet,1,3,0.4544424764049819,0.6977667442625225,0.5750464218054943,0.612344773966429,0.8832144051756474,0.49761004099619777,1293,300,1593,353
aus_us_overlap,crop + region + year only,RandomForest,1,3,0.35524802031888714,0.4610929190494909,0.8144342325360298,0.5169544892759462,0.6594696807969187,0.7199095311911383,1293,300,1593,353
aus_us_overlap,crop + region + year only,ExtraTrees,1,3,0.34753272407945285,0.4493359506712203,0.8237767157727802,0.5299921021783113,0.6792894945505651,0.7028207655923588,1293,300,1593,353
aus_us_overlap,crop + region + year only,HistGradientBoosting,1,3,0.36100998808382784,0.46557195299592874,0.8108115689102304,0.5260588567100383,0.6701942588703191,0.7107255545732727,1293,300,1593,353
aus_us_overlap,crop + region + year only,ANN_MLP,1,3,0.3519186262453442,0.4562475361891126,0.8183137668875358,0.4940642892869272,0.6418490720216954,0.7346772447626925,1293,300,1593,353
aus_us_overlap,rainfall only,Ridge,42,3,0.4607867548175905,0.6901973309456279,0.5842162542833027,0.5704902818714749,0.8229836814009188,0.5637945263029667,1293,300,1593,353
aus_us_overlap,rainfall only,ElasticNet,42,3,0.45685883480168316,0.6894860622493691,0.5850727675388759,0.5683192674375772,0.8254059719475163,0.5612229774607203,1293,300,1593,353
aus_us_overlap,rainfall only,RandomForest,42,3,0.4186006849803604,0.5434513962600747,0.7422240629819721,0.48085260006652547,0.621800978615554,0.7509930517653528,1293,300,1593,353
aus_us_overlap,rainfall only,ExtraTrees,42,3,0.39645319089608677,0.5079539343284195,0.7747993636603598,0.48493817470518186,0.6278061649696363,0.7461601423890225,1293,300,1593,353
aus_us_overlap,rainfall only,HistGradientBoosting,42,3,0.4067131398779119,0.5198746243654735,0.7641052934137817,0.4263856469099707,0.5751234433719178,0.7869748867244383,1293,300,1593,353
aus_us_overlap,rainfall only,ANN_MLP,42,3,0.537758568807595,0.6921424886506916,0.5818693758572467,0.5763593626442595,0.7366311912065027,0.6505308273617766,1293,300,1593,353
aus_us_overlap,temperature only,Ridge,28,3,0.5140942515733733,0.7326592015271504,0.5314834107228563,0.5630346356409405,0.8275438331931515,0.5589471054042064,1293,300,1593,353
aus_us_overlap,temperature only,ElasticNet,28,3,0.5052753299583258,0.7259078696959277,0.5400782313084966,0.5645715931925314,0.8351904557108367,0.5507586654712099,1293,300,1593,353
